username,open,cons,extra,agree,neuro
Aussie_travellers201,0.64304,0.55225,0.56415,0.5811,0.46329
Aussienando,0.63967,0.55914,0.56612,0.58591,0.45951
Aussiepilot,0.63859,0.54771,0.56256,0.58251,0.46688
Aussieseurosummer,0.645,0.55985,0.56789,0.59051,0.45912
AustenWodehouse,0.63847,0.55071,0.56226,0.57896,0.46673
AustinBeach001,0.6443,0.56121,0.56884,0.59024,0.45959
Austinguytexas,0.6464,0.56508,0.57023,0.59023,0.45275
Ausyuppy,0.63712,0.55493,0.56592,0.58757,0.4638
Avatar07,0.65263,0.56204,0.56972,0.5852,0.45162
Averbuch,0.66017,0.5669,0.56958,0.58459,0.45099
Avinash_b11,0.65035,0.5625,0.56741,0.58508,0.45575
Avishai625,0.66285,0.56988,0.5708,0.58515,0.45086
AvniBaroda,0.64353,0.55408,0.56554,0.5856,0.46139
AvocadoInParadise,0.64218,0.5539,0.56533,0.58504,0.46095
Avsecken,0.62492,0.57137,0.56794,0.58643,0.45936
AwSnowboarder,0.63225,0.56112,0.56722,0.58852,0.46305
AwakenTampa,0.63346,0.55555,0.56448,0.58481,0.46406
Awful_Kgp,0.65781,0.55701,0.56187,0.5608,0.4412
Awkward_Veggie,0.63639,0.55404,0.56396,0.58535,0.46642
AyannaFlorida,0.6457,0.56552,0.56946,0.58896,0.45513
AyeletH,0.65188,0.55777,0.56733,0.58318,0.45745
Aylab,0.65725,0.56134,0.56829,0.58244,0.45226
AyrshireBacon,0.64945,0.55615,0.56468,0.58014,0.45825
Ayrshirelinz,0.64226,0.55281,0.56425,0.58156,0.4617
Azmi-Travel,0.64906,0.5589,0.56717,0.58601,0.45855
AznArt,0.65582,0.55996,0.5693,0.58677,0.45465
B-Abroad,0.65171,0.56454,0.56906,0.58998,0.45581
B0F,0.66821,0.56039,0.56715,0.57553,0.45038
BAJB,0.64774,0.55566,0.56623,0.58666,0.46007
BAMMOSWIFE,0.64451,0.56086,0.56662,0.58381,0.45391
BBunbun,0.64649,0.5538,0.5639,0.57744,0.46073
BCLions123,0.64061,0.56283,0.56689,0.58608,0.46106
BC_Eagle_JD,0.65015,0.5542,0.56704,0.58317,0.45676
BCtraveler44,0.6328,0.56124,0.56568,0.587,0.46361
BDL999,0.64713,0.55716,0.56602,0.58149,0.45705
BE-Pieter,0.64495,0.56886,0.57034,0.59003,0.45251
BENtraveln,0.65408,0.55459,0.56538,0.57716,0.45622
BEYLHR,0.65725,0.55701,0.5653,0.5779,0.45501
BHappynow,0.64074,0.56109,0.56828,0.59277,0.45873
BHayes55,0.65706,0.55759,0.56576,0.57901,0.45488
BIBGNottingham,0.64438,0.56114,0.56623,0.58663,0.4627
BJC84,0.64212,0.55081,0.56254,0.57968,0.46651
BJD081311,0.64716,0.55825,0.56464,0.57895,0.4565
BLinFlorence,0.65928,0.56344,0.56929,0.58708,0.45169
BMBeer,0.6481,0.55283,0.56522,0.58191,0.4591
BMWM5Driver,0.65334,0.56576,0.56956,0.58789,0.45339
BMWilliams1982,0.63822,0.55188,0.56443,0.58551,0.464
BReade81,0.64405,0.56535,0.56975,0.5931,0.45342
BSAP,0.64787,0.55626,0.56343,0.57589,0.46102
BSFTL,0.66607,0.57531,0.57508,0.59152,0.44295
BTH1,0.65597,0.55879,0.56546,0.57657,0.45485
BTT,0.64071,0.56129,0.56811,0.58785,0.45748
B_Pope,0.64841,0.56081,0.56834,0.58746,0.45551
Babs065,0.63433,0.56705,0.56791,0.59199,0.45717
BabsLimerick_Ireland,0.6319,0.54935,0.55942,0.58245,0.47485
Back_to_Sandringham,0.65193,0.55966,0.56707,0.58197,0.45585
Backfixer,0.65677,0.55927,0.56674,0.58069,0.45657
Badgerhound,0.64529,0.56452,0.56831,0.58768,0.45753
Badgerjim,0.65248,0.56153,0.56838,0.58388,0.45089
Badlydrawngirl,0.6434,0.56517,0.56944,0.59126,0.45623
Bafio,0.65306,0.55316,0.56519,0.57946,0.45772
BaggageAllowance,0.64758,0.55224,0.56427,0.58134,0.46122
Baidoo,0.65278,0.56662,0.57026,0.58687,0.45043
Baker07,0.64845,0.56202,0.56916,0.58823,0.45389
Baldvin_and_Grace,0.6402,0.55779,0.567,0.58801,0.45992
BambangKaro,0.65816,0.5697,0.56932,0.58232,0.4486
BandiB,0.63731,0.55595,0.56499,0.58275,0.46142
Bangkokexpat,0.65138,0.56063,0.5691,0.5872,0.45503
Bappa_Mumbai,0.64608,0.56249,0.56744,0.58342,0.45557
Barb228,0.65137,0.56111,0.56841,0.58318,0.45177
BarbM2015,0.65113,0.56306,0.56925,0.58755,0.45266
Barbara48,0.64458,0.55918,0.56698,0.58408,0.45729
Barbie892,0.65387,0.56408,0.56917,0.58244,0.44959
BarefootReviewer,0.64735,0.56176,0.56932,0.5887,0.45
Bariloche-61,0.63971,0.55467,0.56108,0.57704,0.46534
Barmag,0.65369,0.5587,0.56845,0.58652,0.45429
Barnaby_Jones,0.65394,0.56553,0.5687,0.58268,0.45495
Barney2009,0.64314,0.55913,0.56694,0.58118,0.4581
BaronVonNick,0.65052,0.55484,0.56428,0.58139,0.45939
BarryBethal,0.63983,0.55191,0.56358,0.58286,0.46332
BarryC2010,0.6453,0.55741,0.56482,0.58018,0.45989
Basics100,0.64423,0.55442,0.56624,0.58637,0.45941
Battota_AA,0.63975,0.56167,0.56687,0.58559,0.45867
Baxman,0.63603,0.55888,0.56636,0.58817,0.46168
Bazzer73,0.65351,0.56398,0.56917,0.58607,0.45298
BeATraveler,0.65026,0.55787,0.56644,0.58212,0.45534
BeHappy001,0.64828,0.55641,0.56572,0.58177,0.46004
BeLLaJade,0.65009,0.56864,0.57096,0.58797,0.44917
BeMySamaritan,0.6543,0.56802,0.57216,0.5911,0.44782
Beach-n-Scuba,0.65408,0.56433,0.56966,0.58657,0.45287
Beaches2626,0.64055,0.55605,0.56722,0.58914,0.46014
Beans_puka_shell,0.64889,0.55716,0.56615,0.58101,0.45678
BeansterIreland,0.64526,0.55407,0.5657,0.58588,0.46109
Bear_Eskimo,0.64437,0.55668,0.56527,0.58391,0.45828
Bearable1,0.64876,0.56338,0.5684,0.58613,0.45597
Bearded_Beast,0.64382,0.55678,0.56654,0.58479,0.45947
BeatriceNY,0.64594,0.56768,0.56968,0.58961,0.45639
Beaverlea_10,0.64831,0.56046,0.56673,0.5827,0.45649
BecSutb,0.6462,0.55059,0.56397,0.58115,0.46169
BeckyCooper,0.65025,0.56813,0.57229,0.59459,0.45098
Becsupierz,0.65197,0.55922,0.56723,0.58298,0.45511
Bee833,0.64147,0.56074,0.56809,0.59236,0.46027
Beeffinder,0.63124,0.54964,0.56101,0.57917,0.46741
BeingGreen,0.6465,0.5616,0.56857,0.58624,0.45204
BeingUs,0.64766,0.56495,0.56906,0.59044,0.4549
Bel1,0.64722,0.56779,0.56846,0.58758,0.4562
Bel20,0.64416,0.55606,0.56699,0.58702,0.45961
BelDan23,0.63919,0.54754,0.56051,0.5766,0.46729
Belgian,0.63385,0.5574,0.56564,0.59028,0.46493
Belgian_EU,0.64117,0.5572,0.56642,0.58572,0.46077
Belle2375,0.64136,0.55121,0.56449,0.58485,0.46295
BellsHollow,0.62549,0.55657,0.56038,0.58468,0.47393
Benjamin_S,0.62938,0.55442,0.56504,0.59057,0.4688
BennyDoran,0.64808,0.55672,0.56583,0.58297,0.45876
BergenRoy,0.63713,0.55817,0.56478,0.58527,0.46437
Bergern,0.64542,0.56141,0.56876,0.5879,0.45468
BermyBye,0.64492,0.55691,0.56715,0.58675,0.45863
BertDC,0.64867,0.5626,0.56804,0.58535,0.45531
Bertaccone,0.65077,0.56745,0.56914,0.58559,0.45146
Bertrand_FRA,0.63,0.54505,0.56009,0.5809,0.47715
Bertybign,0.64327,0.55395,0.56524,0.58246,0.46103
Betabloke,0.64056,0.56138,0.56699,0.58784,0.4601
Bethelpeeps,0.65306,0.56469,0.57108,0.59093,0.45056
Betsyat240,0.64744,0.55797,0.56523,0.5801,0.45898
BettyB000_10,0.65408,0.56249,0.56789,0.58459,0.45278
Beverley29,0.64994,0.55408,0.5633,0.57679,0.4608
Bicky2,0.63899,0.56218,0.56752,0.58904,0.45972
BienVago,0.65084,0.55944,0.56623,0.57939,0.45515
BigBlueOcean7,0.64172,0.55712,0.56552,0.58248,0.45938
BigCanadianFamily,0.63882,0.55259,0.56373,0.58448,0.46504
BigRuss1213,0.64898,0.56098,0.56679,0.58283,0.45779
Bigdaddi0,0.64004,0.55723,0.5654,0.58484,0.46134
Bignbeefy,0.62748,0.5578,0.56556,0.59068,0.46549
Bigredbard,0.65022,0.57088,0.56871,0.58854,0.45451
Bijouxmama,0.64333,0.55993,0.56707,0.58531,0.4573
Bildo,0.63459,0.55918,0.56712,0.59251,0.46296
Bill_Fareham,0.65039,0.56546,0.56879,0.58378,0.45166
BillsMaryland,0.6539,0.57126,0.57331,0.59033,0.44548
BinDereDoneDat,0.63823,0.55626,0.56522,0.58492,0.46143
Bingenheimer,0.65646,0.56345,0.56958,0.58371,0.4493
Bingley1,0.64914,0.55852,0.56677,0.58387,0.45633
BinsSingapore,0.65284,0.56531,0.57088,0.59039,0.45329
Bird-Bird-Blogger,0.64337,0.56316,0.57003,0.59297,0.45723
Birdbrain72,0.64208,0.55745,0.56636,0.58664,0.45837
Birdmombjk,0.6447,0.56492,0.57092,0.59187,0.45518
Birdyc3,0.64204,0.56082,0.56554,0.5836,0.45612
BirminghamJollyBoy,0.64993,0.56596,0.56976,0.58466,0.44915
BirminghamLola,0.65815,0.5593,0.56695,0.57834,0.45182
BishopORyan,0.64781,0.56238,0.57055,0.59,0.45233
